,Tweets
0,"['hows', 'gon', 'na', 'respond', 'disaster', 'like', 'able', 'live', 'hobby', 'sm']"
1,"['_', 'like', 'suicide', 'bombing', 'jihad']"
2,"['choosing', 'violence', 'though']"
3,"['mb', 'main', 'players', 'served', 'central', 'network', 'covering', 'countries', 'across', 'europe', 'present', 'mainstre']"
4,"['runs', 'donald', 'trump', 'full', 'support', 'political', 'candidate', 'juncture', 'take', 'administrative', 'state', 'nsa', 'fbi', 'co', 'greater', 'internal', 'threat', 'united', 'states', 'excesses', 'unaccountable', 'bureaucrats']"
5,"['found', 'couple', 'ultramaga', 'republican', 'extremist', 'white', 'supremacists', 'trump', 'rally', 'youngstown', 'ohio', 'tell', 'cn']"
6,"['laughter', 'could', 'well', 'signal', 'people', 'used', 'millennia', 'show', 'others', 'fight', 'flight', 'response', 'required', 'amp', 'perceived', 'threat', 'passed', 'laughing', 'often', 'contagious', 'unites', 'us', 'makes', 'us', 'sociable', 'signals', 'end', 'fear', 'worry']"
7,"['_rtc', 'lmaoo', 'mic', 'roblox', 'threat', 'get', 'hwid', 'banned', 'guy', 'expose', 'kids', 'nudity', 'hal']"
8,"['please', 'point', 'said', 'wanted', 'violence', 'initiated', 'peaceful', 'people', 'kill', 'shut', 'fuck']"
9,"['believe', 'time', 'us', 'take', 'action', 'sierra', 'madre', 'threat', 'want', 'help', 'sign', 'petitio']"
10,"['hundreds', 'londoners', 'protesting', 'outside', 'islamic', 'centre', 'known', 'iran', 'hq', 'terrorism', 'britain', 'lots']"
11,"['yes', 'shifted', 'east', 'think', 'gfs', 'settle', 'around', 'showing', 'near', 'spaghetti', 'model', 'consensus', 'though', 'peninsula', 'landfall', 'possible', 'also', 'need', 'watch', 'think', 'need', 'mention', 'panhandle', 'impacts', 'threat']"
12,"['funny', 'media', 'show', 'hosted', 'bothered', 'say', 'one', 'word', 'murder', 'cayler', 'ellingson', 'liberal', 'networks', 'avoid', 'north', 'dakota', 'teen', 'killed', 'man', 'dubbed', 'victim', 'republican', 'extremist', 'foxnews']"
13,"['aww', 'big', 'mad', 'little', 'threat', 'music', 'ears', 'actually', 'right']"
14,"['never', 'thought', 'see', 'front', 'page', 'new', 'york', 'times', 'lie', 'gets', 'halfway', 'around', 'world', 'truth', 'h']"
15,"['liz', 'cheney', 'said', 'everything', 'see', 'kari', 'lake', 'loses', 'including', 'campaigning', 'democrats', 'knows', 'k']"
